node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,parent_node_id
103744,,1458549.726,1041928.946,,,none,256,
103745,,1458675.153,1041283.89,,,none,259,
103746,,1448401.127,1031154.377,,,none,0,
103747,,1453707.09,1031075.153,,,2_stop,0,
103748,,1448216.972,1017816.661,,,none,244,
103749,,1448338.062,1025780.689,,,none,246,
103750,,1453702.914,1025613.875,,,4_stop,246,
103751,,1450255.398,1017775.43,,,none,244,
103753,,1445749.678,1025824.106,,,none,248,
103754,,1453579.815,1017671.039,,,2_stop,244,
103756,,1445812.738,1031197.435,,,none,0,
103758,,1446816.819,1025806.189,,,none,248,
103759,,1456347.036,1031021.286,,,none,247,
103760,,1460322.316,1017529.843,,,none,243,
103761,,1467749.156,1017442.362,,,none,233,
103762,,1472070.218,1020045.444,,,none,233,
103763,,1472245.705,1023987.619,,,none,239,
103764,,1467086.669,1012189.455,,,none,232,
103765,,1464751.917,1020130.929,,,none,234,
103767,,1467296.205,1016947.705,,,none,233,
103768,,1469310.764,1020053.358,,,2_stop,234,
103771,,1464876.331,1030898.279,,,none,240,
103772,,1460337.9,1020178.321,,,none,234,
103773,,1460383.77,1024112.148,,,none,245,
103774,,1460383.496,1012221.204,,,none,232,
103775,,1460278.532,1017706.784,,,none,243,
103776,,1460512.926,1030944.294,,,2_stop,240,
103777,,1469777.671,1012137.481,,,none,231,
103778,,1458663.208,1040871.77,,,none,258,
103779,,1472736.457,1020043.162,,,none,233,
103780,,1475121.612,1015456.611,,,none,233,
103781,,1475112.27,1014772.283,,,none,233,
103783,,1469917.578,1030835.851,,,none,284,
103784,,1472526.108,1033441.532,,,none,284,
103785,,1467481.126,1030859.418,,,none,240,
103786,,1472946.352,1026020.006,,,none,240,
103787,,1472833.871,1025473.667,,,none,239,
103788,,1477190.698,1035576.152,,,none,290,
103789,,1480554.501,1035465.943,,,none,290,
103790,,1479036.054,1033340.118,,,none,290,
103791,,1464857.058,1042044.894,,,none,286,
103792,,1467113.379,1042064.759,,,none,287,
103793,,1464755.028,1037697.64,,,none,284,
103794,,1464857.665,1039314.712,,,none,286,
103795,,1467392.248,1037723.349,,,none,285,
103796,,1462307.925,1046699.463,,,none,0,
103797,,1464966.178,1046373.446,,,none,288,
103798,,1467599.934,1043042.09,,,none,288,
103799,,1464663.675,1046743.329,,,none,0,
103800,,1464611.975,1046677.302,,,none,0,
103801,,1464910.649,1046309.683,,,none,288,
103802,,1467213.633,1043377.897,,,none,288,
103803,,1462228.868,1042087.806,,,signal,265,
103804,,1463653.044,1041979.889,,,signal,287,
103805,,1461631.423,1038138.799,,,none,280,
103806,,1463090.053,1037889.091,,,none,280,
103807,,1462241.81,1040841.284,,,none,274,
103808,,1463749.215,1039999.026,,,none,286,
103809,,1464065.175,1039812.214,,,none,286,
103810,,1459393.75,1041063.548,,,signal,268,
103811,,1459388.7,1042296.427,,,signal,265,
103812,,1460475.907,1040686.853,,,signal,278,
103813,,1459446.119,1045249.991,,,none,263,
103814,,1490811.031,996613.375,,,none,211,
103815,,1460115.0,1041060.0,,,signal,269,
103816,,1460481.043,1041048.343,,,signal,278,
103817,,1460124.511,1040681.243,,,4_stop,273,
103818,,1460622.732,1038145.428,,,none,280,
103819,,1460635.417,1038449.978,,,4_stop,280,
103820,,1459354.127,1038521.173,,,4_stop,279,
103821,,1459374.135,1039951.464,,,4_stop,279,
103822,,1458788.635,1042323.147,,,none,262,
103823,,1459380.833,1040375.252,,,none,272,
103824,,1459201.041,1041061.279,,,none,268,
103825,,1459385.587,1040690.092,,,signal,270,
103826,,1458848.363,1041546.69,,,none,259,
103827,,1460621.204,1037825.057,,,none,282,
103828,,1461186.79,1042268.964,,,none,265,
103829,,1462240.881,1044598.762,,,none,265,
103830,,1459476.211,1046726.751,,,none,0,
103831,,1464549.58,1039508.281,,,none,286,
103832,,1463965.677,1042027.156,,,none,287,
103833,,1526710.659,1031116.631,,,none,303,
103834,,1473898.794,1040735.752,,,none,291,
103835,,1471754.809,1046592.196,,,none,288,
103836,,1473094.157,1041031.634,,,none,288,
103837,,1469536.455,1042035.934,,,none,288,
103838,,1470000.493,1037199.512,,,none,285,
103839,,1468262.806,1042183.148,,,none,288,
103840,,1469319.094,1040812.978,,,none,288,
103841,,1470749.732,1039301.989,,,none,288,
103842,,1472944.933,1038615.733,,,2_stop,288,
103843,,1468180.104,1042144.708,,,none,288,
103844,,1469059.126,1040990.95,,,none,286,
103845,,1471418.59,1038817.003,,,none,289,
103846,,1472989.159,1038514.617,,,2_stop,288,
103847,,1468853.341,1042037.192,,,none,288,
103848,,1467757.174,1042048.932,,,none,287,
103849,,1467952.764,1037400.463,,,none,285,
103850,,1529673.329,1035427.598,,,none,302,
103851,,1458854.335,1041062.898,,,none,258,
103852,,1560050.379,1042457.469,,,none,321,
103853,,1468137.184,1042047.15,,,none,287,
103854,,1468469.195,1042039.774,,,none,288,
103855,,1473408.193,1040912.777,,,none,288,
103856,,1472832.557,1039174.926,,,none,288,
103857,,1475365.925,1039124.436,,,none,291,
103858,,1480003.959,983112.75,,,none,0,
103859,,1482676.51,983494.5,,,none,210,
103860,,1482804.612,992242.25,,,none,210,
103861,,1488011.619,984922.688,,,none,209,
103862,,1488093.616,992751.75,,,none,211,
103863,,1485351.91,984230.0,,,2_stop,209,
103864,,1485417.216,992229.25,,,2_stop,212,
103865,,1485342.198,983021.938,,,none,0,
103866,,1481113.465,983098.438,,,none,0,
103867,,1458854.335,1040686.615,,,none,257,
103868,,1459033.518,1041917.0,,,none,260,
103869,,1459039.491,1041271.944,,,none,259,
103870,,1485526.069,998832.875,,,2_stop,211,
103871,,1485587.45,1006796.669,,,2_stop,228,
