mvmt_id,node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,type,penalty,capacity,ctrl_type
255,108,,101854 108,1,1,108 101854,1,1,uturn,,,none
256,108,,101858 108,1,1,108 101858,1,1,uturn,,,none
257,109,,100027 109,1,1,109 100027,1,1,uturn,,,none
258,109,,100038 109,1,1,109 100038,1,1,uturn,,,none
259,109,,100039 109,1,1,109 100039,1,1,uturn,,,none
260,109,,100041 109,1,1,109 100041,1,1,uturn,,,none
261,110,,100064 110,1,1,110 100064,1,1,uturn,,,none
262,110,,100192 110,1,1,110 100192,1,1,uturn,,,none
263,110,,100255 110,1,1,110 100255,1,1,uturn,,,none
264,110,,101842 110,1,1,110 101842,1,1,uturn,,,none
265,111,,100178 111,1,1,111 100178,1,1,uturn,,,none
266,111,,100179 111,1,1,111 100179,1,1,uturn,,,none
267,111,,101843 111,1,1,111 101843,1,1,uturn,,,none
268,111,,101846 111,1,1,111 101846,1,1,uturn,,,none
269,112,,101813 112,1,1,112 101813,1,1,uturn,,,none
270,112,,101819 112,1,1,112 101819,1,1,uturn,,,none
271,112,,101820 112,1,1,112 101820,1,1,uturn,,,none
272,112,,101822 112,1,1,112 101822,1,1,uturn,,,none
273,113,,101816 113,1,1,113 101816,1,1,uturn,,,none
274,113,,101817 113,1,1,113 101817,1,1,uturn,,,none
275,113,,101827 113,1,1,113 101827,1,1,uturn,,,none
276,114,,100188 114,1,1,114 100188,1,1,uturn,,,none
277,114,,100189 114,1,1,114 100189,1,1,uturn,,,none
278,114,,100216 114,1,1,114 100216,1,1,uturn,,,none
279,115,,100187 115,1,1,115 100187,1,1,uturn,,,none
280,115,,100217 115,1,1,115 100217,1,1,uturn,,,none
281,115,,101829 115,1,1,115 101829,1,1,uturn,,,none
282,115,,101832 115,1,1,115 101832,1,1,uturn,,,none
283,116,,101832 116,1,1,116 101832,1,1,uturn,,,none
284,116,,101837 116,1,1,116 101837,1,1,uturn,,,none
285,117,,100740 117,1,1,117 100740,1,1,uturn,,,none
286,118,,100741 118,1,1,118 100741,1,1,uturn,,,none
287,118,,101829 118,1,1,118 101829,1,1,uturn,,,none
288,118,,104446 118,1,1,118 104446,1,1,uturn,,,none
289,119,,100193 119,1,1,119 100193,1,1,uturn,,,none
290,119,,100498 119,1,1,119 100498,1,1,uturn,,,none
291,120,,100563 120,1,1,120 100563,1,1,uturn,,,none
