lane_id,link_id,lane_num,allowed_uses,r_barrier,l_barrier,width
457,100113 100307,1,,,,
458,100113 100307,2,,,,
459,100114 100113,1,,,,
460,100114 100113,2,,,,
461,100114 100238,1,,,,
462,100114 100239,1,,,,
463,100114 100240,1,,,,
464,100114 100240,2,,,,
465,100115 100135,1,,,,
466,100115 100142,1,,,,
467,100115 100154,1,,,,
468,100115 100154,2,,,,
469,100115 100240,1,,,,
470,100115 100240,2,,,,
471,100116 100118,1,,,,
472,100116 100154,1,,,,
473,100116 100654,1,,,,
474,100117 100118,1,,,,
475,100117 100162,1,,,,
476,100117 65,1,,,,
477,100118 100116,1,,,,
478,100118 100117,1,,,,
479,100118 100159,1,,,,
480,100118 100161,1,,,,
481,100119 100128,1,,,,
482,100119 100156,1,,,,
483,100119 100161,1,,,,
484,100120 100104,1,,,,
485,100120 100105,1,,,,
486,100120 100180,1,,,,
487,100121 100122,1,,,,
488,100121 100122,2,,,,
489,100121 100270,1,,,,
490,100121 101956,1,,,,
491,100121 101956,2,,,,
492,100122 100121,1,,,,
493,100122 100121,2,,,,
494,100122 100123,1,,,,
495,100122 100123,2,,,,
496,100123 100122,1,,,,
497,100123 100122,2,,,,
498,100123 100124,1,,,,
499,100123 100180,1,,,,
500,100123 102545,1,,,,
501,100124 100123,1,,,,
502,100124 100125,1,,,,
503,100124 100166,1,,,,
504,100125 100124,1,,,,
505,100125 100152,1,,,,
506,100125 45,1,,,,
507,100125 46,1,,,,
508,100126 100132,1,,,,
509,100126 47,1,,,,
510,100127 100113,1,,,,
511,100127 100113,2,,,,
512,100127 100199,1,,,,
513,100127 100650,1,,,,
514,100127 100650,2,,,,
515,100128 100105,1,,,,
516,100128 100119,1,,,,
517,100128 52,1,,,,
518,100129 100130,1,,,,
519,100129 100183,1,,,,
520,100129 100220,1,,,,
521,100129 100270,1,,,,
522,100130 100129,1,,,,
523,100130 100131,1,,,,
524,100130 100306,1,,,,
525,100130 101926,1,,,,
526,100131 100130,1,,,,
527,100131 100132,1,,,,
528,100131 27,1,,,,
529,100132 100126,1,,,,
530,100132 100131,1,,,,
531,100132 100133,1,,,,
532,100132 101917,1,,,,
533,100133 100132,1,,,,
534,100133 100134,1,,,,
535,100133 33,1,,,,
536,100134 100133,1,,,,
537,100134 100136,1,,,,
538,100134 101915,1,,,,
539,100134 104071,1,,,,
540,100135 100115,1,,,,
541,100135 174,1,,,,
542,100136 100134,1,,,,
543,100136 100568,1,,,,
544,100136 103413,1,,,,
545,100136 104066,1,,,,
546,100137 100138,1,,,,
547,100137 100184,1,,,,
548,100137 100306,1,,,,
549,100137 100568,1,,,,
550,100138 100137,1,,,,
551,100138 100139,1,,,,
552,100138 102508,1,,,,
553,100139 100138,1,,,,
554,100139 100140,1,,,,
555,100139 102507,1,,,,
556,100140 100139,1,,,,
557,100140 100145,1,,,,
558,100140 100146,1,,,,
559,100140 100182,1,,,,
560,100141 100198,1,,,,
561,100141 103413,1,,,,
562,100141 104009,1,,,,
563,100141 104240,1,,,,
564,100142 100115,1,,,,
565,100142 172,1,,,,
566,100143 101981,1,,,,
567,100143 101982,1,,,,
568,100143 15,1,,,,
569,100144 101980,1,,,,
570,100144 34,1,,,,
571,100145 100140,1,,,,
572,100145 100196,1,,,,
573,100145 100198,1,,,,
574,100145 104241,1,,,,
575,100146 100140,1,,,,
576,100146 100147,1,,,,
577,100146 100194,1,,,,
578,100146 100196,1,,,,
579,100147 100146,1,,,,
580,100147 100148,1,,,,
581,100147 104220,1,,,,
582,100147 104221,1,,,,
583,100148 100147,1,,,,
584,100148 100149,1,,,,
585,100148 100153,1,,,,
586,100148 104224,1,,,,
587,100149 100148,1,,,,
588,100149 100150,1,,,,
589,100149 100155,1,,,,
590,100149 100194,1,,,,
591,100150 100149,1,,,,
592,100150 100151,1,,,,
593,100150 100152,1,,,,
594,100151 100150,1,,,,
595,100151 100153,1,,,,
596,100151 100155,1,,,,
597,100151 100190,1,,,,
598,100152 100125,1,,,,
599,100152 100150,1,,,,
600,100152 52,1,,,,
601,100153 100148,1,,,,
602,100153 100151,1,,,,
603,100153 103985,1,,,,
604,100153 104057,1,,,,
605,100154 100115,1,,,,
606,100154 100115,2,,,,
607,100154 100116,1,,,,
608,100154 68,1,,,,
609,100155 100149,1,,,,
610,100155 100151,1,,,,
611,100155 51,1,,,,
612,100156 100119,1,,,,
613,100156 100160,1,,,,
614,100156 100190,1,,,,
615,100156 100191,1,,,,
616,100157 100158,1,,,,
617,100157 100164,1,,,,
618,100157 356,1,,,,
619,100157 71,1,,,,
620,100158 100157,1,,,,
621,100158 100191,1,,,,
622,100158 103984,1,,,,
623,100158 104057,1,,,,
624,100159 100118,1,,,,
625,100160 100156,1,,,,
626,100160 100162,1,,,,
627,100160 71,1,,,,
628,100161 100118,1,,,,
629,100161 100119,1,,,,
630,100161 392,1,,,,
631,100161 64,1,,,,
632,100162 100117,1,,,,
633,100162 100160,1,,,,
634,100162 100164,1,,,,
635,100162 100657,1,,,,
636,100163 101881,1,,,,
637,100163 181,1,,,,
638,100164 100157,1,,,,
639,100164 100162,1,,,,
640,100164 100658,1,,,,
641,100164 104140,1,,,,
642,100165 101870,1,,,,
643,100165 184,1,,,,
644,100166 100124,1,,,,
645,100166 100181,1,,,,
646,100166 45,1,,,,
647,100167 100708,1,,,,
648,100167 100716,1,,,,
649,100167 161,1,,,,
650,100168 100170,1,,,,
651,100168 100170,2,,,,
652,100168 100237,1,,,,
653,100168 101865,1,,,,
654,100168 101877,1,,,,
655,100168 101877,2,,,,
656,100169 100170,1,,,,
657,100169 101886,1,,,,
658,100169 101894,1,,,,
659,100170 100168,1,,,,
660,100170 100168,2,,,,
661,100170 100171,1,,,,
662,100170 100171,2,,,,
663,100171 100170,1,,,,
664,100171 100170,2,,,,
665,100171 100173,1,,,,
666,100171 100173,2,,,,
667,100171 101885,1,,,,
668,100171 101896,1,,,,
669,100172 101974,1,,,,
670,100172 22,1,,,,
671,100173 100171,1,,,,
672,100173 100171,2,,,,
673,100173 101793,1,,,,
674,100173 101793,2,,,,
675,100173 101885,1,,,,
676,100174 101977,1,,,,
677,100175 100740,1,,,,
678,100175 100741,1,,,,
679,100175 41,1,,,,
680,100176 100232,1,,,,
681,100176 100233,1,,,,
682,100176 100234,1,,,,
683,100176 100234,2,,,,
684,100176 101757,1,,,,
685,100176 101757,2,,,,
686,100177 100203,1,,,,
687,100177 100305,1,,,,
688,100177 101788,1,,,,
689,100177 101788,2,,,,
690,100177 101789,1,,,,
691,100177 101789,2,,,,
692,100178 101841,1,,,,
693,100178 101842,1,,,,
694,100178 111,1,,,,
695,100179 101834,1,,,,
696,100179 101841,1,,,,
697,100179 111,1,,,,
698,100180 100120,1,,,,
699,100180 100123,1,,,,
700,100181 100166,1,,,,
701,100181 100182,1,,,,
702,100181 100185,1,,,,
703,100181 102545,1,,,,
704,100182 100140,1,,,,
705,100182 100181,1,,,,
706,100182 45,1,,,,
707,100183 100129,1,,,,
708,100183 100184,1,,,,
709,100183 44,1,,,,
710,100184 100137,1,,,,
711,100184 100183,1,,,,
712,100184 100185,1,,,,
713,100185 100181,1,,,,
714,100185 100184,1,,,,
715,100185 44,1,,,,
716,100186 103422,1,,,,
717,100186 440,1,,,,
718,100187 101824,1,,,,
719,100187 115,1,,,,
720,100188 101849,1,,,,
721,100188 114,1,,,,
722,100189 101848,1,,,,
723,100189 114,1,,,,
724,100190 100151,1,,,,
725,100190 100156,1,,,,
726,100190 378,1,,,,
727,100191 100156,1,,,,
728,100191 100158,1,,,,
729,100191 378,1,,,,
730,100192 100250,1,,,,
731,100192 101841,1,,,,
732,100192 110,1,,,,
733,100193 100566,1,,,,
734,100193 119,1,,,,
735,100194 100146,1,,,,
736,100194 100149,1,,,,
737,100194 50,1,,,,
738,100195 101897,1,,,,
739,100195 101903,1,,,,
740,100195 164,1,,,,
741,100196 100145,1,,,,
742,100196 100146,1,,,,
743,100196 49,1,,,,
744,100197 100307,1,,,,
745,100198 100141,1,,,,
746,100198 100145,1,,,,
747,100198 48,1,,,,
748,100199 100127,1,,,,
749,100199 67,1,,,,
750,100200 100547,1,,,,
751,100200 100551,1,,,,
752,100200 393,1,,,,
753,100201 100584,1,,,,
754,100201 80,1,,,,
755,100202 100584,1,,,,
756,100202 79,1,,,,
757,100203 100177,1,,,,
758,100203 101903,1,,,,
759,100203 146,1,,,,
760,100203 198,1,,,,
761,100203 389,1,,,,
762,100204 100082,1,,,,
763,100204 100205,1,,,,
764,100204 100576,1,,,,
765,100204 100582,1,,,,
766,100205 100204,1,,,,
767,100205 78,1,,,,
768,100206 100576,1,,,,
769,100206 77,1,,,,
770,100207 101972,1,,,,
771,100207 23,1,,,,
772,100208 101972,1,,,,
773,100208 22,1,,,,
774,100209 101801,1,,,,
775,100209 143,1,,,,
776,100210 101801,1,,,,
777,100210 140,1,,,,
778,100211 100212,1,,,,
779,100211 101965,1,,,,
780,100211 101966,1,,,,
781,100211 101978,1,,,,
782,100212 100211,1,,,,
783,100212 34,1,,,,
784,100213 101966,1,,,,
785,100213 37,1,,,,
786,100214 100219,1,,,,
787,100214 39,1,,,,
788,100215 100219,1,,,,
789,100216 101828,1,,,,
790,100216 114,1,,,,
791,100217 101828,1,,,,
792,100217 115,1,,,,
793,100218 100108,1,,,,
794,100218 59,1,,,,
795,100219 100214,1,,,,
796,100219 100215,1,,,,
