geometry_id,geometry
311,"LINESTRING(1494239 985210,1494239.948 986618.25)"
312,"LINESTRING(1493163 978948,1495845.565 977533.875)"
313,"LINESTRING(1493163 978948,1490613.911 977626.562)"
314,"LINESTRING(1493163 978948,1492069.268 974978)"
315,"LINESTRING(1496386 974539,1495812.71 973821.75)"
316,"LINESTRING(1496386 974539,1497106.413 974887.812)"
317,"LINESTRING(1520461 1005413,1520432 1004483)"
318,"LINESTRING(1520461 1005413,1521371 1005414)"
319,"LINESTRING(1520461 1005413,1520106.655 1005969.435)"
320,"LINESTRING(1522022 1004954,1521371 1005414)"
321,"LINESTRING(1522022 1004954,1522077.051 1005984.178)"
322,"LINESTRING(1522022 1004954,1522741.415 1004922.61)"
323,"LINESTRING(1522022 1004954,1522165.366 1004587.137)"
324,"LINESTRING(1522266.361 1003284.835,1522160.051 1003290.151)"
325,"LINESTRING(1522266.361 1003284.835,1522440.7 1003268.771)"
326,"LINESTRING(1520402 1003953,1519746.812 1003954.412)"
327,"LINESTRING(1520402 1003953,1520432 1004483)"
328,"LINESTRING(1519317.966 1002619.051,1520623 1002561)"
329,"LINESTRING(1519317.966 1002619.051,1519158.068 1002587.371)"
330,"LINESTRING(1519317.966 1002619.051,1519283.438 1002102.451)"
331,"LINESTRING(1519317.966 1002619.051,1520486.264 1002971.45)"
332,"LINESTRING(1522614 1002264,1522640.668 1002519.222)"
333,"LINESTRING(1522614 1002264,1522864 1002264)"
334,"LINESTRING(1522614 1002264,1522426.067 1002263.968)"
335,"LINESTRING(1522614 1002264,1522645.373 1002001.764)"
336,"LINESTRING(1513047 1008300,1512089.116 1008420.099)"
337,"LINESTRING(1518079 1007573,1517418.504 1007548.179)"
338,"LINESTRING(1520223 1007508,1521064 1007392)"
339,"LINESTRING(1520223 1007508,1520106.655 1005969.435)"
340,"LINESTRING(1520223 1007508,1519240.345 1008949.938)"
341,"LINESTRING(1516876 1004903,1517211 1005144)"
342,"LINESTRING(1516876 1004903,1516093 1004160)"
343,"LINESTRING(1516876 1004903,1516064.8 1005767.383)"
344,"LINESTRING(1514370 1005280,1513157 1005304)"
345,"LINESTRING(1514370 1005280,1514611.35 1005772.203)"
346,"LINESTRING(1511498 1006068,1511501.959 1005513.976)"
