link_id,name,from_node_id,to_node_id,directed,geometry_id,geometry,parent_link_id,dir_flag,length,grade,facility_type,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,jurisdiction,row_width
1078,Broadway,332,342,1,647,,647,-1,65.14397674866059,,tertiary,,,2,,,,,,24.4
1079,Broadway,324,332,1,648,,,1,56.627361125552525,,tertiary,,,2,,,,,,24.4
1080,Broadway,332,324,1,648,,648,-1,56.627361125552525,,tertiary,,,2,,,,,,24.4
1081,Broadway,705,559,1,649,,,1,32.453818364895405,,tertiary,,,2,,,,,,24.4
1082,Broadway,559,705,1,649,,649,-1,32.453818364895405,,tertiary,,,2,,,,,,24.4
1083,Broadway,573,559,1,650,,,1,88.17542942943166,,tertiary,,,2,,,,,,24.4
1084,Broadway,559,573,1,650,,650,-1,88.17542942943166,,tertiary,,,2,,,,,,24.4
1085,Maple Avenue,1621,559,1,651,,,1,288.5312798125414,,residential,,25 mph,1,,,,,,12.2
1086,Memorial Drive,75,132,1,652,,,1,294.59087031724573,,primary,,,4,,,,,,30.2
1087,Memorial Drive,132,75,1,652,,652,-1,294.59087031724573,,primary,,,4,,,,,,30.2
1088,Memorial Drive,281,132,1,653,,,1,314.2919918933903,,primary,,,4,,,,,,30.2
1089,Memorial Drive,132,281,1,653,,653,-1,314.2919918933903,,primary,,,4,,,,,,30.2
1090,Pleasant Street Extension,75,113,1,654,,,1,139.0312273482489,,residential,,25 mph,2,,,,,,12.2
1091,Pleasant Street Extension,113,75,1,654,,654,-1,139.0312273482489,,residential,,25 mph,2,,,,,,12.2
1092,"['Pleasant Street', 'Florence Street']",81,113,1,655,,,1,202.17135825416113,,residential,,25 mph,2,,,,,,12.2
1093,"['Pleasant Street', 'Florence Street']",113,81,1,655,,655,-1,202.17135825416113,,residential,,25 mph,2,,,,,,12.2
1094,Pleasant Street,86,113,1,656,,,1,45.621503928856065,,residential,,25 mph,2,,,,,,
1095,Pleasant Street,113,86,1,656,,656,-1,45.621503928856065,,residential,,25 mph,2,,,,,,
1096,DeWolfe Street,715,561,1,657,,,1,34.55636844761215,,tertiary,,,2,,,,,,11.6
1097,Mount Auburn Street,720,561,1,658,,,1,86.4220257772854,,primary,,25 mph,2,,,,,,15.9
1098,Bow Street,715,628,1,659,,,1,86.73828261978709,,residential,,25 mph,1,,,,,,12.8
