link_geometry_id,name,facility_type,grade,geometry,length,row_width,jurisdiction
296,"",HOT,0,"LINESTRING(1502729.852 993094.412,1501300.104 993442.875)",1471,,
297,"",HOT,0,"LINESTRING(1506541.825 984781.791,1506571.249 985429.109)",647,,
298,"",HOT,0,"LINESTRING(1506541.825 984781.791,1503893.706 983840.237)",2810,,
299,"",HOT,0,"LINESTRING(1506541.825 984781.791,1506545.683 982755.25)",2026,,
300,"",HOT,0,"LINESTRING(1493295 990622,1493336.673 994106.688)",3484,,
301,"",HOT,0,"LINESTRING(1493295 990622,1495965 990603)",2670,,
302,"",HOT,0,"LINESTRING(1493295 990622,1490760.387 990645.25)",2534,,
303,"",HOT,0,"LINESTRING(1493295 990622,1493786.506 986492.375)",4158,,
304,"",HOT,0,"LINESTRING(1498545 992005,1498566.361 996129.188)",4124,,
305,"",HOT,0,"LINESTRING(1498545 992005,1501275 991957)",2730,,
306,"",HOT,0,"LINESTRING(1498545 992005,1495995 992023)",2550,,
307,"",HOT,0,"LINESTRING(1498545 992005,1498523.174 987848.25)",4156,,
308,"",HOT,0,"LINESTRING(1502039.24 987256.053,1501304.434 985487.956)",1914,,
309,"",HOT,0,"LINESTRING(1502039.24 987256.053,1503923.13 987621.163)",1918,,
310,"",HOT,0,"LINESTRING(1502039.24 987256.053,1502689.243 988973.919)",1836,,
311,"",HOT,0,"LINESTRING(1494239 985210,1494239.948 986618.25)",1408,,
312,"",HOT,0,"LINESTRING(1493163 978948,1495845.565 977533.875)",3032,,
313,"",HOT,0,"LINESTRING(1493163 978948,1490613.911 977626.562)",2871,,
314,"",HOT,0,"LINESTRING(1493163 978948,1492069.268 974978)",4117,,
315,"",HOT,0,"LINESTRING(1496386 974539,1495812.71 973821.75)",918,,
316,"",HOT,0,"LINESTRING(1496386 974539,1497106.413 974887.812)",800,,
317,"",HOT,0,"LINESTRING(1520461 1005413,1520432 1004483)",930,,
318,"",HOT,0,"LINESTRING(1520461 1005413,1521371 1005414)",910,,
319,"",HOT,0,"LINESTRING(1520461 1005413,1520106.655 1005969.435)",659,,
320,"",HOT,0,"LINESTRING(1522022 1004954,1521371 1005414)",797,,
321,"",HOT,0,"LINESTRING(1522022 1004954,1522077.051 1005984.178)",1031,,
322,"",HOT,0,"LINESTRING(1522022 1004954,1522741.415 1004922.61)",720,,
323,"",HOT,0,"LINESTRING(1522022 1004954,1522165.366 1004587.137)",393,,
324,"",HOT,0,"LINESTRING(1522266.361 1003284.835,1522160.051 1003290.151)",106,,
325,"",HOT,0,"LINESTRING(1522266.361 1003284.835,1522440.7 1003268.771)",175,,
326,"",HOT,0,"LINESTRING(1520402 1003953,1519746.812 1003954.412)",655,,
327,"",HOT,0,"LINESTRING(1520402 1003953,1520432 1004483)",530,,
328,"",HOT,0,"LINESTRING(1519317.966 1002619.051,1520623 1002561)",1306,,
329,"",HOT,0,"LINESTRING(1519317.966 1002619.051,1519158.068 1002587.371)",163,,
