"Physical_Link_ID","Name","A_Node","B_Node","AB_Link","BA_Link","Grade","Geometry","Length","ROWWidth","Jurisdiction"
608,NA,250,103759,"250 103759","103759 250",0,"LINESTRING(1458199.832 1037163.046,1456347.036 1031021.286)",6415,NA,NA
609,NA,250,104426,"250 104426","104426 250",0,"LINESTRING(1458199.832 1037163.046,1457503 1040335)",3247,NA,NA
610,NA,251,100687,"251 100687","100687 251",0,"LINESTRING(1457974.762 1039488.774,1458995 1039950)",1119,NA,NA
611,NA,251,103679,"251 103679","103679 251",0,"LINESTRING(1457974.762 1039488.774,1458125.021 1040690.241)",1210,NA,NA
612,NA,252,103680,"252 103680","103680 252",0,"LINESTRING(1456321.892 1041152.489,1456728.039 1040889.688)",483,NA,NA
613,NA,252,103694,"252 103694","103694 252",0,"LINESTRING(1456321.892 1041152.489,1456716.093 1041684.063)",661,NA,NA
614,NA,253,103680,"253 103680","103680 253",0,"LINESTRING(1457128.213 1040925.525,1456728.039 1040889.688)",401,NA,NA
615,NA,253,103687,"253 103687","103687 253",0,"LINESTRING(1457128.213 1040925.525,1457140.158 1041086.789)",161,NA,NA
616,NA,253,103689,"253 103689","103689 253",0,"LINESTRING(1457128.213 1040925.525,1457122.24 1040698.561)",227,NA,NA
617,NA,254,103687,"254 103687","103687 254",0,"LINESTRING(1457152.103 1041684.063,1457140.158 1041086.789)",597,NA,NA
618,NA,254,103693,"254 103693","103693 254",0,"LINESTRING(1457152.103 1041684.063,1457570.196 1041749.764)",423,NA,NA
619,NA,254,103694,"254 103694","103694 254",0,"LINESTRING(1457152.103 1041684.063,1456716.093 1041684.063)",436,NA,NA
620,NA,254,103700,"254 103700","103700 254",0,"LINESTRING(1457152.103 1041684.063,1457098.349 1042329.12)",647,NA,NA
621,NA,255,103679,"255 103679","103679 255",0,"LINESTRING(1458083.852 1040877.743,1458125.021 1040690.241)",191,NA,NA
622,NA,255,103692,"255 103692","103692 255",0,"LINESTRING(1458083.852 1040877.743,1458107.742 1041074.844)",198,NA,NA
623,NA,256,100700,"256 100700","100700 256",0,"LINESTRING(1458053.988 1041654.2,1458398 1041546)",360,NA,NA
624,NA,256,103692,"256 103692","103692 256",0,"LINESTRING(1458053.988 1041654.2,1458107.742 1041074.844)",581,NA,NA
625,NA,256,103693,"256 103693","103693 256",0,"LINESTRING(1458053.988 1041654.2,1457570.196 1041749.764)",493,NA,NA
626,NA,256,103743,"256 103743","103743 256",0,"LINESTRING(1458053.988 1041654.2,1458042.042 1042329.12)",675,NA,NA
627,NA,257,103867,"257 103867","103867 257",0,"LINESTRING(1458943.927 1040495.487,1458854.335 1040686.615)",211,NA,NA
628,NA,258,103778,"258 103778","103778 258",0,"LINESTRING(1458872.254 1040877.743,1458663.208 1040871.77)",209,NA,NA
629,NA,258,103851,"258 103851","103851 258",0,"LINESTRING(1458872.254 1040877.743,1458854.335 1041062.898)",186,NA,NA
630,NA,258,103867,"258 103867","103867 258",0,"LINESTRING(1458872.254 1040877.743,1458854.335 1040686.615)",191,NA,NA
631,NA,258,103898,"258 103898","103898 258",0,"LINESTRING(1458872.254 1040877.743,1459039.491 1040859.825)",168,NA,NA
632,NA,259,103745,"259 103745","103745 259",0,"LINESTRING(1458866.281 1041277.917,1458675.153 1041283.89)",191,NA,NA
633,NA,259,103826,"259 103826","103826 259",0,"LINESTRING(1458866.281 1041277.917,1458848.363 1041546.69)",269,NA,NA
634,NA,259,103851,"259 103851","103851 259",0,"LINESTRING(1458866.281 1041277.917,1458854.335 1041062.898)",215,NA,NA
635,NA,259,103869,"259 103869","103869 259",0,"LINESTRING(1458866.281 1041277.917,1459039.491 1041271.944)",173,NA,NA
636,NA,260,103744,"260 103744","103744 260",0,"LINESTRING(1458812.526 1041911.028,1458549.726 1041928.946)",263,NA,NA
637,NA,260,103822,"260 103822","103822 260",0,"LINESTRING(1458812.526 1041911.028,1458788.635 1042323.147)",412,NA,NA
638,NA,260,103826,"260 103826","103826 260",0,"LINESTRING(1458812.526 1041911.028,1458848.363 1041546.69)",366,NA,NA
639,NA,260,103868,"260 103868","103868 260",0,"LINESTRING(1458812.526 1041911.028,1459033.518 1041917)",221,NA,NA
640,NA,261,103909,"261 103909","103909 261",0,"LINESTRING(1455814.209 1043446.023,1456100.901 1042353.011)",1129,NA,NA
641,NA,261,103910,"261 103910","103910 261",0,"LINESTRING(1455814.209 1043446.023,1456612.764 1043420.355)",798,NA,NA
642,NA,262,100695,"262 100695","100695 262",0,"LINESTRING(1458114.693 1043515.333,1459031 1042650)",1260,NA,NA
643,NA,262,100697,"262 100697","100697 262",0,"LINESTRING(1458114.693 1043515.333,1458542 1042600)",1010,NA,NA
644,NA,262,100719,"262 100719","100719 262",0,"LINESTRING(1458114.693 1043515.333,1457564 1042578)",1087,NA,NA
645,NA,262,103910,"262 103910","103910 262",0,"LINESTRING(1458114.693 1043515.333,1456612.764 1043420.355)",1504,NA,NA
646,NA,262,103911,"262 103911","103911 262",0,"LINESTRING(1458114.693 1043515.333,1459415.773 1043678.96)",1311,NA,NA
647,NA,263,103813,"263 103813","103813 263",0,"LINESTRING(1460317.658 1045387.164,1459446.119 1045249.991)",882,NA,NA
648,NA,264,103829,"264 103829","103829 264",0,"LINESTRING(1462909.828 1044598.762,1462240.881 1044598.762)",668,NA,NA
649,NA,265,100767,"265 100767","100767 265",0,"LINESTRING(1460580.458 1043356.432,1460108 1042582)",907,NA,NA
650,NA,265,100768,"265 100768","100768 265",0,"LINESTRING(1460580.458 1043356.432,1460466 1042582)",782,NA,NA
651,NA,265,103829,"265 103829","103829 265",0,"LINESTRING(1460580.458 1043356.432,1462240.881 1044598.762)",2073,NA,NA
652,NA,265,103911,"265 103911","103911 265",0,"LINESTRING(1460580.458 1043356.432,1459415.773 1043678.96)",1208,NA,NA
653,NA,266,103919,"266 103919","103919 266",0,"LINESTRING(1459476.965 1041917.109,1459395.589 1041921.392)",81,NA,NA
654,NA,267,103963,"267 103963","103963 267",0,"LINESTRING(1460175.083 1041908.544,1460110.839 1041912.826)",64,NA,NA
655,NA,267,103967,"267 103967","103967 267",0,"LINESTRING(1460175.083 1041908.544,1460470.605 1041912.826)",295,NA,NA
656,NA,268,103945,"268 103945","103945 268",0,"LINESTRING(1459451.267 1041300.367,1459395.589 1041291.801)",56,NA,NA
657,NA,269,103965,"269 103965","103965 269",0,"LINESTRING(1460192.214 1041313.216,1460110.839 1041304.65)",81,NA,NA
658,NA,269,103968,"269 103968","103968 269",0,"LINESTRING(1460192.214 1041313.216,1460479.171 1041266.104)",290,NA,NA
659,NA,270,103946,"270 103946","103946 270",0,"LINESTRING(1459472.682 1040846.376,1459395.589 1040859.225)",78,NA,NA
660,NA,271,103966,"271 103966","103966 271",0,"LINESTRING(1460200.78 1040850.659,1460123.688 1040850.659)",77,NA,NA
661,NA,271,103969,"271 103969","103969 271",0,"LINESTRING(1460200.78 1040850.659,1460479.171 1040824.962)",279,NA,NA
662,NA,272,103823,"272 103823","103823 272",0,"LINESTRING(1459438.418 1040490.893,1459380.833 1040375.252)",129,NA,NA
663,NA,273,100683,"273 100683","100683 273",0,"LINESTRING(1460008.048 1040503.742,1460483 1040572)",479,NA,NA
664,NA,273,103974,"273 103974","103974 273",0,"LINESTRING(1460008.048 1040503.742,1459733.941 1040675.059)",323,NA,NA
665,NA,274,100769,"274 100769","100769 274",0,"LINESTRING(1461853.992 1041518.797,1462230 1041929)",556,NA,NA
666,NA,274,103807,"274 103807","103807 274",0,"LINESTRING(1461853.992 1041518.797,1462241.81 1040841.284)",780,NA,NA
667,NA,274,103977,"274 103977","103977 274",0,"LINESTRING(1461853.992 1041518.797,1460740.43 1041553.06)",1114,NA,NA
668,NA,275,103832,"275 103832","103832 275",0,"LINESTRING(1463892.668 1041664.416,1463965.677 1042027.156)",370,NA,NA
669,NA,275,103999,"275 103999","103999 275",0,"LINESTRING(1463892.668 1041664.416,1463788.153 1041543.417)",159,NA,NA
670,NA,276,103808,"276 103808","103808 276",0,"LINESTRING(1463644.258 1040362.405,1463749.215 1039999.026)",378,NA,NA
671,NA,276,104003,"276 104003","104003 276",0,"LINESTRING(1463644.258 1040362.405,1463815.975 1040296.059)",184,NA,NA
672,NA,277,103808,"277 103808","103808 277",0,"LINESTRING(1463070.345 1040156.824,1463749.215 1039999.026)",696,NA,NA
673,NA,278,100689,"278 100689","100689 278",0,"LINESTRING(1461151.591 1040636.513,1460581 1040688)",572,NA,NA
674,NA,279,100683,"279 100683","100683 279",0,"LINESTRING(1460449.19 1039711.399,1460483 1040572)",861,NA,NA
675,NA,279,100686,"279 100686","100686 279",0,"LINESTRING(1460449.19 1039711.399,1459856 1039950)",639,NA,NA
676,NA,279,104074,"279 104074","104074 279",0,"LINESTRING(1460449.19 1039711.399,1460108.228 1038457.941)",1299,NA,NA
677,NA,280,100684,"280 100684","100684 280",0,"LINESTRING(1461742.636 1038632.1,1460856.805 1038453.163)",903,NA,NA
678,NA,280,103805,"280 103805","103805 280",0,"LINESTRING(1461742.636 1038632.1,1461631.423 1038138.799)",505,NA,NA
679,NA,281,100685,"281 100685","100685 281",0,"LINESTRING(1459858.146 1037672.724,1459358 1038166)",702,NA,NA
680,NA,281,103827,"281 103827","103827 281",0,"LINESTRING(1459858.146 1037672.724,1460621.204 1037825.057)",778,NA,NA
681,NA,282,103827,"282 103827","103827 282",0,"LINESTRING(1461442.831 1037467.143,1460621.204 1037825.057)",896,NA,NA
682,NA,283,103732,"283 103732","103732 283",0,"LINESTRING(1461977.522 1034300.286,1464715.533 1035944.433)",3193,NA,NA
683,NA,283,103740,"283 103740","103740 283",0,"LINESTRING(1461977.522 1034300.286,1460538.363 1033558.368)",1619,NA,NA
684,NA,284,103732,"284 103732","103732 284",0,"LINESTRING(1470187.653 1033188.273,1464715.533 1035944.433)",6127,NA,NA
685,NA,284,103783,"284 103783","103783 284",0,"LINESTRING(1470187.653 1033188.273,1469917.578 1030835.851)",2367,NA,NA
686,NA,284,103784,"284 103784","103784 284",0,"LINESTRING(1470187.653 1033188.273,1472526.108 1033441.532)",2352,NA,NA
687,NA,285,103724,"285 103724","103724 285",0,"LINESTRING(1470063.416 1036611.68,1469986.436 1036120.13)",497,NA,NA
688,NA,285,103838,"285 103838","103838 285",0,"LINESTRING(1470063.416 1036611.68,1470000.493 1037199.512)",591,NA,NA
689,NA,286,103791,"286 103791","103791 286",0,"LINESTRING(1466032.631 1040559.64,1464857.058 1042044.894)",1894,NA,NA
690,NA,286,103792,"286 103792","103792 286",0,"LINESTRING(1466032.631 1040559.64,1467113.379 1042064.759)",1852,NA,NA
691,NA,286,103795,"286 103795","103795 286",0,"LINESTRING(1466032.631 1040559.64,1467392.248 1037723.349)",3145,NA,NA
692,NA,287,103791,"287 103791","103791 287",0,"LINESTRING(1464845.482 1043831.202,1464857.058 1042044.894)",1786,NA,NA
693,NA,288,103837,"288 103837","103837 288",0,"LINESTRING(1470229.065 1042892.526,1469536.455 1042035.934)",1101,NA,NA
694,NA,289,103723,"289 103723","103723 289",0,"LINESTRING(1474342.674 1035355.51,1473926.052 1035578.984)",472,NA,NA
695,NA,290,103788,"290 103788","103788 290",0,"LINESTRING(1478180.203 1035438.335,1477190.698 1035576.152)",999,NA,NA
696,NA,290,103789,"290 103789","103789 290",0,"LINESTRING(1478180.203 1035438.335,1480554.501 1035465.943)",2374,NA,NA
697,NA,290,103790,"290 103790","103790 290",0,"LINESTRING(1478180.203 1035438.335,1479036.054 1033340.118)",2266,NA,NA
698,NA,291,103834,"291 103834","103834 291",0,"LINESTRING(1476689.364 1043417.081,1473898.794 1040735.752)",3869,NA,NA
699,NA,291,103923,"291 103923","103923 291",0,"LINESTRING(1476689.364 1043417.081,1480745.21 1043816.463)",4075,NA,NA
700,NA,292,103928,"292 103928","103928 292",0,"LINESTRING(1485634.394 1042091.891,1485962.365 1041522.658)",656,NA,NA
701,NA,293,103607,"293 103607","103607 293",0,"LINESTRING(1484971.8 1034554.875,1484325.287 1035000.734)",785,NA,NA
702,NA,294,100701,"294 100701","100701 294",0,"LINESTRING(1494827.322 1031922.457,1493801.854 1030493.685)",1758,NA,NA
703,NA,294,103879,"294 103879","103879 294",0,"LINESTRING(1494827.322 1031922.457,1493853.89 1033058.742)",1496,NA,NA
704,NA,295,103964,"295 103964","103964 295",0,"LINESTRING(1501086.409 1040031.397,1501930.067 1039863.077)",860,NA,NA
705,NA,296,103973,"296 103973","103973 296",0,"LINESTRING(1504051.241 1040715.588,1503611.964 1040116.4)",742,NA,NA
706,NA,297,103578,"297 103578","103578 297",0,"LINESTRING(1508688.54 1032986.755,1507168.114 1032986.755)",1520,NA,NA
707,NA,298,103579,"298 103579","103579 298",0,"LINESTRING(1510715.775 1042768.164,1515269.474 1043332.858)",4588,NA,NA
708,NA,298,103582,"298 103582","103582 298",0,"LINESTRING(1510715.775 1042768.164,1512559.449 1036570.844)",6465,NA,NA
709,NA,299,104050,"299 104050","104050 299",0,"LINESTRING(1519990.375 1040588.886,1515214.469 1040728.074)",4777,NA,NA
710,NA,299,104055,"299 104055","104055 299",0,"LINESTRING(1519990.375 1040588.886,1523067.642 1035464.639)",5977,NA,NA
711,NA,300,103833,"300 103833","103833 300",0,"LINESTRING(1524896.283 1031349.763,1526710.659 1031116.631)",1829,NA,NA
712,NA,301,104058,"301 104058","104058 301",0,"LINESTRING(1526249.463 1038004.162,1525694.689 1035450.758)",2612,NA,NA
713,NA,301,104059,"301 104059","104059 301",0,"LINESTRING(1526249.463 1038004.162,1529158.411 1038085.023)",2910,NA,NA
714,NA,302,103850,"302 103850","103850 302",0,"LINESTRING(1529774.36 1034784.671,1529673.329 1035427.598)",650,NA,NA
715,NA,303,101915,"303 101915","101915 303",0,"LINESTRING(1533855.432 1032209.807,1528508 1030136)",5735,NA,NA
716,NA,303,104012,"303 104012","104012 303",0,"LINESTRING(1533855.432 1032209.807,1533614.135 1033555.595)",1367,NA,NA
717,NA,304,104010,"304 104010","104010 304",0,"LINESTRING(1533243.423 1040132.758,1530083.658 1040679.254)",3206,NA,NA
718,NA,304,104021,"304 104021","104021 304",0,"LINESTRING(1533243.423 1040132.758,1531937.26 1035416.012)",4894,NA,NA
719,NA,304,104075,"304 104075","104075 304",0,"LINESTRING(1533243.423 1040132.758,1539040.485 1040582.744)",5814,NA,NA
720,NA,304,104082,"304 104082","104082 304",0,"LINESTRING(1533243.423 1040132.758,1533798.746 1045978.209)",5871,NA,NA
721,NA,305,104015,"305 104015","104015 305",0,"LINESTRING(1527567.165 1052448.211,1533224.184 1056578.319)",7004,NA,NA
722,NA,305,104024,"305 104024","104024 305",0,"LINESTRING(1527567.165 1052448.211,1528485.253 1046056.293)",6457,NA,NA
723,NA,305,104055,"305 104055","104055 305",0,"LINESTRING(1527567.165 1052448.211,1523067.642 1035464.639)",17569,NA,NA
724,NA,306,104077,"306 104077","104077 306",0,"LINESTRING(1536385.637 1053157.743,1539222.629 1053738.914)",2895,NA,NA
725,NA,306,104083,"306 104083","104083 306",0,"LINESTRING(1536385.637 1053157.743,1533642.784 1053882.84)",2837,NA,NA
726,NA,307,103550,"307 103550","103550 307",0,"LINESTRING(1543785.045 1058986.043,1545895.992 1059033.87)",2111,NA,NA
727,NA,307,103558,"307 103558","103558 307",0,"LINESTRING(1543785.045 1058986.043,1539257.579 1059086.609)",4528,NA,NA
728,NA,308,103979,"308 103979","103979 308",0,"LINESTRING(1544950.705 1050471.656,1545802.364 1051083.231)",1048,NA,NA
729,NA,308,103980,"308 103980","103980 308",0,"LINESTRING(1544950.705 1050471.656,1549735.874 1051124.493)",4829,NA,NA
730,NA,308,104081,"308 104081","104081 308",0,"LINESTRING(1544950.705 1050471.656,1539189.051 1050626.692)",5763,NA,NA
731,NA,309,103551,"309 103551","103551 309",0,"LINESTRING(1552603.517 1051079.827,1552432.978 1056414.884)",5337,NA,NA
732,NA,309,103924,"309 103924","103924 309",0,"LINESTRING(1552603.517 1051079.827,1554996.773 1050963.538)",2396,NA,NA
733,NA,309,103980,"309 103980","103980 309",0,"LINESTRING(1552603.517 1051079.827,1549735.874 1051124.493)",2867,NA,NA
734,NA,309,104285,"309 104285","104285 309",0,"LINESTRING(1552603.517 1051079.827,1554919.184 1045977.537)",5603,NA,NA
735,NA,310,103975,"310 103975","103975 310",0,"LINESTRING(1544950.705 1040234.12,1545654.614 1040521.693)",760,NA,NA
736,NA,310,103976,"310 103976","103976 310",0,"LINESTRING(1544950.705 1040234.12,1549630.915 1040523.241)",4689,NA,NA
737,NA,310,104075,"310 104075","104075 310",0,"LINESTRING(1544950.705 1040234.12,1539040.485 1040582.744)",5920,NA,NA
738,NA,311,103546,"311 103546","103546 311",0,"LINESTRING(1544038.449 1031719.734,1543835.726 1035216.714)",3502,NA,NA
739,NA,311,104073,"311 104073","104073 311",0,"LINESTRING(1544038.449 1031719.734,1545525.613 1032097.349)",1534,NA,NA
740,NA,312,103976,"312 103976","103976 312",0,"LINESTRING(1551843.304 1040386.163,1549630.915 1040523.241)",2216,NA,NA
741,NA,312,104279,"312 104279","104279 312",0,"LINESTRING(1551843.304 1040386.163,1554872.297 1040654.614)",3040,NA,NA
742,NA,313,103547,"313 103547","103547 313",0,"LINESTRING(1555407.748 1030028.895,1555654.875 1029796.305)",339,NA,NA
743,NA,313,104247,"313 104247","104247 313",0,"LINESTRING(1555407.748 1030028.895,1554761.925 1030474.992)",784,NA,NA
744,NA,314,104264,"314 104264","104264 314",0,"LINESTRING(1563155.909 1029745.426,1563896.487 1027374.666)",2483,NA,NA
745,NA,314,104266,"314 104266","104266 314",0,"LINESTRING(1563155.909 1029745.426,1559940.036 1029981.604)",3224,NA,NA
746,NA,315,103552,"315 103552","103552 315",0,"LINESTRING(1558893.303 1034520.556,1560000.343 1034802.007)",1142,NA,NA
747,NA,316,104306,"316 104306","104306 316",0,"LINESTRING(1560675.825 1035752.686,1560362.198 1035265.124)",579,NA,NA
748,NA,317,104302,"317 104302","104302 317",0,"LINESTRING(1562251.949 1034651.9,1562662.332 1035292.907)",761,NA,NA
749,NA,318,104310,"318 104310","104310 318",0,"LINESTRING(1565254.091 1035602.578,1564978.441 1035282.01)",422,NA,NA
750,NA,319,104298,"319 104298","104298 319",0,"LINESTRING(1567130.43 1039980.702,1566655.091 1039755.541)",525,NA,NA
751,NA,320,103852,"320 103852","103852 320",0,"LINESTRING(1564603.627 1042307.362,1560050.379 1042457.469)",4555,NA,NA
752,NA,320,104193,"320 104193","104193 320",0,"LINESTRING(1564603.627 1042307.362,1568038.602 1045904.102)",4973,NA,NA
753,NA,320,104301,"320 104301","104301 320",0,"LINESTRING(1564603.627 1042307.362,1565318.606 1039893.038)",2517,NA,NA
754,NA,321,104282,"321 104282","104282 321",0,"LINESTRING(1557498.558 1036803.435,1557368.898 1035274.094)",1534,NA,NA
755,NA,322,103924,"322 103924","103924 322",0,"LINESTRING(1557266.157 1050725.061,1554996.773 1050963.538)",2281,NA,NA
756,NA,322,104171,"322 104171","104171 322",0,"LINESTRING(1557266.157 1050725.061,1560135.424 1051160.777)",2902,NA,NA
757,NA,323,104171,"323 104171","104171 323",0,"LINESTRING(1565479.252 1051063.609,1560135.424 1051160.777)",5344,NA,NA
758,NA,323,104191,"323 104191","104191 323",0,"LINESTRING(1565479.252 1051063.609,1568080.134 1056483.462)",6011,NA,NA
759,NA,323,104193,"323 104193","104193 323",0,"LINESTRING(1565479.252 1051063.609,1568038.602 1045904.102)",5759,NA,NA
760,NA,323,104359,"323 104359","104359 323",0,"LINESTRING(1565479.252 1051063.609,1570682.475 1051193.208)",5204,NA,NA
761,NA,324,103545,"324 103545","103545 324",0,"LINESTRING(1556172.612 1061821.284,1555007.293 1056378.318)",5566,NA,NA
762,NA,324,103568,"324 103568","103568 324",0,"LINESTRING(1556172.612 1061821.284,1560280.142 1061652.199)",4111,NA,NA
763,NA,325,103553,"325 103553","103553 325",0,"LINESTRING(1565379.18 1061971.391,1565428.729 1056471.447)",5500,NA,NA
764,NA,325,103568,"325 103568","103568 325",0,"LINESTRING(1565379.18 1061971.391,1560280.142 1061652.199)",5109,NA,NA
765,NA,325,104385,"325 104385","104385 325",0,"LINESTRING(1565379.18 1061971.391,1570986.556 1062662.214)",5649,NA,NA
766,NA,326,103556,"326 103556","103556 326",0,"LINESTRING(1576136.856 1063522.498,1576060.237 1059173.923)",4349,NA,NA
767,NA,326,104385,"326 104385","104385 326",0,"LINESTRING(1576136.856 1063522.498,1570986.556 1062662.214)",5221,NA,NA
768,NA,326,104393,"326 104393","104393 326",0,"LINESTRING(1576136.856 1063522.498,1581549.263 1062975.561)",5439,NA,NA
769,NA,327,103555,"327 103555","103555 327",0,"LINESTRING(1573885.249 1058368.821,1576041.819 1056523.995)",2837,NA,NA
770,NA,327,103556,"327 103556","103556 327",0,"LINESTRING(1573885.249 1058368.821,1576060.237 1059173.923)",2319,NA,NA
771,NA,328,103925,"328 103925","103925 328",0,"LINESTRING(1579939.569 1060120.071,1579233.669 1059206.926)",1154,NA,NA
772,NA,328,103926,"328 103926","103926 328",0,"LINESTRING(1579939.569 1060120.071,1581309.745 1060422.722)",1403,NA,NA
773,NA,329,103554,"329 103554","103554 329",0,"LINESTRING(1578588.605 1057818.428,1578836.409 1056545.464)",1296,NA,NA
774,NA,329,103925,"329 103925","103925 329",0,"LINESTRING(1578588.605 1057818.428,1579233.669 1059206.926)",1531,NA,NA
775,NA,330,100754,"330 100754","100754 330",0,"LINESTRING(1581908.346 1057891.786,1582388 1059219)",1411,NA,NA
776,NA,330,100758,"330 100758","100758 330",0,"LINESTRING(1581908.346 1057891.786,1582669.058 1057014.041)",1161,NA,NA
777,NA,330,103938,"330 103938","103938 330",0,"LINESTRING(1581908.346 1057891.786,1581316.108 1058061.355)",616,NA,NA
778,NA,331,100754,"331 100754","100754 331",0,"LINESTRING(1583117.684 1059335.189,1582388 1059219)",738,NA,NA
779,NA,331,100755,"331 100755","100755 331",0,"LINESTRING(1583117.684 1059335.189,1583892 1057970)",1569,NA,NA
780,NA,331,103926,"331 103926","103926 331",0,"LINESTRING(1583117.684 1059335.189,1581309.745 1060422.722)",2109,NA,NA
781,NA,332,103529,"332 103529","103529 332",0,"LINESTRING(1584970.701 1061227.216,1585920.326 1059172.881)",2263,NA,NA
782,NA,333,103533,"333 103533","103533 333",0,"LINESTRING(1585653.391 1057638.215,1584589.371 1057221.784)",1142,NA,NA
783,NA,333,104394,"333 104394","104394 333",0,"LINESTRING(1585653.391 1057638.215,1586779.217 1058894.021)",1686,NA,NA
784,NA,334,100757,"334 100757","100757 334",0,"LINESTRING(1585321.798 1055219.54,1584987 1054730)",593,NA,NA
785,NA,335,100753,"335 100753","100753 335",0,"LINESTRING(1584502.57 1056370.361,1584378 1056905)",548,NA,NA
786,NA,335,103533,"335 103533","103533 335",0,"LINESTRING(1584502.57 1056370.361,1584589.371 1057221.784)",855,NA,NA
787,NA,335,104409,"335 104409","104409 335",0,"LINESTRING(1584502.57 1056370.361,1584022 1056533)",507,NA,NA
788,NA,336,100758,"336 100758","100758 336",0,"LINESTRING(1582883.618 1057599.204,1582669.058 1057014.041)",623,NA,NA
789,NA,336,103943,"336 103943","103943 336",0,"LINESTRING(1582883.618 1057599.204,1583624.825 1057774.753)",761,NA,NA
790,NA,336,104410,"336 104410","104410 336",0,"LINESTRING(1582883.618 1057599.204,1583332.243 1057209.095)",594,NA,NA
791,NA,337,103944,"337 103944","103944 337",0,"LINESTRING(1581966.862 1055902.231,1582537.242 1056465.926)",801,NA,NA
792,NA,337,103947,"337 103947","103947 337",0,"LINESTRING(1581966.862 1055902.231,1581654.775 1055668.166)",390,NA,NA
793,NA,338,104011,"338 104011","104011 338",0,"LINESTRING(1582496.841 1054609.735,1581298.947 1054010.788)",1339,NA,NA
794,NA,338,104016,"338 104016","104016 338",0,"LINESTRING(1582496.841 1054609.735,1582236.429 1055651.381)",1073,NA,NA
795,NA,338,104018,"338 104018","104018 338",0,"LINESTRING(1582496.841 1054609.735,1583642.652 1056068.04)",1854,NA,NA
796,NA,339,103555,"339 103555","103555 339",0,"LINESTRING(1576195.626 1051562.953,1576041.819 1056523.995)",4963,NA,NA
797,NA,339,104337,"339 104337","104337 339",0,"LINESTRING(1576195.626 1051562.953,1577680.134 1051241.278)",1518,NA,NA
798,NA,339,104359,"339 104359","104359 339",0,"LINESTRING(1576195.626 1051562.953,1570682.475 1051193.208)",5525,NA,NA
799,NA,340,104401,"340 104401","104401 340",0,"LINESTRING(1584146.907 1051262.274,1586706.137 1052521.703)",2852,NA,NA
800,NA,341,103504,"341 103504","103504 341",0,"LINESTRING(1576629.94 1041206.243,1581264.12 1040669.756)",4665,NA,NA
801,NA,341,104338,"341 104338","104338 341",0,"LINESTRING(1576629.94 1041206.243,1575949.819 1040633.134)",889,NA,NA
802,NA,341,104340,"341 104340","104340 341",0,"LINESTRING(1576629.94 1041206.243,1570644.478 1043022.038)",6254,NA,NA
803,NA,342,103504,"342 103504","103504 342",0,"LINESTRING(1583979.863 1040538.068,1581264.12 1040669.756)",2718,NA,NA
804,NA,342,104396,"342 104396","104396 342",0,"LINESTRING(1583979.863 1040538.068,1586550.131 1040651.446)",2572,NA,NA
805,NA,343,103506,"343 103506","103506 343",0,"LINESTRING(1578872.333 1029656.74,1581133.739 1030077.544)",2300,NA,NA
806,NA,343,104321,"343 104321","104321 343",0,"LINESTRING(1578872.333 1029656.74,1578464.32 1027436.899)",2257,NA,NA
807,NA,343,104329,"343 104329","104329 343",0,"LINESTRING(1578872.333 1029656.74,1570549.814 1030035.688)",8331,NA,NA
808,NA,344,104220,"344 104220","104220 344",0,"LINESTRING(1557577.966 1017935.498,1558482.395 1019372.285)",1697,NA,NA
809,NA,344,104224,"344 104224","104224 344",0,"LINESTRING(1557577.966 1017935.498,1557115.876 1015717.219)",2265,NA,NA
810,NA,345,104051,"345 104051","104051 345",0,"LINESTRING(1559492.591 1013312.379,1562294.481 1013872.757)",2857,NA,NA
811,NA,345,104224,"345 104224","104224 345",0,"LINESTRING(1559492.591 1013312.379,1557115.876 1015717.219)",3381,NA,NA
812,NA,345,104231,"345 104231","104231 345",0,"LINESTRING(1559492.591 1013312.379,1558769.562 1010148.709)",3245,NA,NA
813,NA,346,104051,"346 104051","104051 346",0,"LINESTRING(1565143.07 1014760.023,1562294.481 1013872.757)",2983,NA,NA
814,NA,346,104194,"346 104194","104194 346",0,"LINESTRING(1565143.07 1014760.023,1565107.723 1018153.995)",3394,NA,NA
815,NA,346,104326,"346 104326","104326 346",0,"LINESTRING(1565143.07 1014760.023,1566369.081 1013402.163)",1829,NA,NA
816,NA,347,104182,"347 104182","104182 347",0,"LINESTRING(1564442.597 1022371.825,1566450.619 1020177.011)",2974,NA,NA
817,NA,347,104194,"347 104194","104194 347",0,"LINESTRING(1564442.597 1022371.825,1565107.723 1018153.995)",4269,NA,NA
818,NA,347,104228,"347 104228","104228 347",0,"LINESTRING(1564442.597 1022371.825,1560299.116 1022006.489)",4159,NA,NA
819,NA,347,104264,"347 104264","104264 347",0,"LINESTRING(1564442.597 1022371.825,1563896.487 1027374.666)",5032,NA,NA
820,NA,348,104182,"348 104182","104182 348",0,"LINESTRING(1574622.799 1023866.166,1566450.619 1020177.011)",8966,NA,NA
821,NA,348,104318,"348 104318","104318 348",0,"LINESTRING(1574622.799 1023866.166,1575796.802 1027438.933)",3760,NA,NA
822,NA,348,104319,"348 104319","104319 348",0,"LINESTRING(1574622.799 1023866.166,1575697.678 1020211.95)",3809,NA,NA
823,NA,349,103508,"349 103508","103508 349",0,"LINESTRING(1578685.54 1017888.8,1581002.519 1018124.254)",2328,NA,NA
824,NA,349,103993,"349 103993","103993 349",0,"LINESTRING(1578685.54 1017888.8,1578293.352 1014152.524)",3756,NA,NA
