From,To,NumMidPoints,Shape_Points
101844,100274,1,"1522078 1001059,"
101986,100282,1,"1522177 1003493,"
101872,100287,1,"1520061 1003065,"
100113,100307,2,"1532718 998443,1532634 998445,"
102523,100307,16,"1531826 997091,1531844 997181,1531869 997258,1531903 997331,1531931 997379,1531963 997422,1532015 997485,1532087 997552,1532152 997616,1532223 997691,1532272 997757,1532328 997868,1532347 997918,1532360 997975,1532369 998065,1532373 998162,"
101796,100311,1,"1512070 1006680,"
101795,100311,2,"1512084 1007873,1512083 1007811,"
103862,100501,3,"1489023 992924,1489546 993069,1490761 993396,"
100503,100502,2,"1495529 994740,1495067 994531,"
100502,100503,2,"1495067 994531,1495529 994740,"
100504,100503,4,"1497680 996160,1497080 996043,1496859 995945,1496533 995639,"
100503,100504,4,"1496533 995639,1496859 995945,1497080 996043,1497680 996160,"
100729,100505,2,"1500904 999544,1500919 996867,"
100564,100506,3,"1505818 996001,1505060 996030,1502727 996055,"
103861,100513,1,"1488012 984923,"
100516,100515,1,"1494729 986754,"
100515,100516,1,"1494729 986754,"
100671,100519,7,"1506497 989525,1506199 989520,1505537 989509,1504892 989498,1504513 989493,1504405 989468,1504298 989439,"
100529,100522,25,"1490614 977679,1490619 978048,1490619 978063,1490620 978154,1490627 978681,1490628 978733,1490629 978787,1490638 979472,1490638 979495,1490639 979578,1490648 980211,1490648 980212,1490649 980317,1490650 980369,1490650 980370,1490654 980686,1490654 980696,1490656 980791,1490663 981319,1490663 981356,1490664 981425,1490672 982058,1490673 982081,1490674 982163,1490683 982849,"
100525,100524,2,"1502810 982792,1502791 982793,"
100526,100525,7,"1506225 982758,1506224 982758,1504753 982774,1504736 982774,1504394 982777,1504386 982777,1503890 982782,"
100524,100525,2,"1502791 982793,1502810 982792,"
100525,100526,7,"1503890 982782,1504386 982777,1504394 982777,1504736 982774,1504753 982774,1506224 982758,1506225 982758,"
100532,100528,1,"1495818 974533,"
100530,100529,14,"1490579 975058,1490582 975268,1490582 975284,1490583 975372,1490590 975844,1490590 975876,1490590 975949,1490591 976316,1490591 976350,1490593 976421,1490603 976892,1490604 976936,1490605 976997,1490613 977573,"
100522,100529,25,"1490683 982849,1490674 982163,1490673 982081,1490672 982058,1490664 981425,1490663 981356,1490663 981319,1490656 980791,1490654 980696,1490654 980686,1490650 980370,1490650 980369,1490649 980317,1490648 980212,1490648 980211,1490639 979578,1490638 979495,1490638 979472,1490629 978787,1490628 978733,1490627 978681,1490620 978154,1490619 978063,1490619 978048,1490614 977679,"
100529,100530,14,"1490613 977573,1490605 976997,1490604 976936,1490603 976892,1490593 976421,1490591 976350,1490591 976316,1490590 975949,1490590 975876,1490590 975844,1490583 975372,1490582 975284,1490582 975268,1490579 975058,"
100534,100532,1,"1496201 974901,"
100528,100532,1,"1495818 974533,"
100532,100534,1,"1496201 974901,"
100535,100534,1,"1501138 974830,"
100536,100535,1,"1509095 974756,"
100534,100535,1,"1501138 974830,"
100535,100536,1,"1509095 974756,"
100539,100538,1,"1515071 974723,"
100540,100539,4,"1514886 977729,1514853 977454,1515082 976612,1515070 976458,"
100538,100539,1,"1515071 974723,"
100539,100540,4,"1515070 976458,1515082 976612,1514853 977454,1514886 977729,"
102536,100548,10,"1518425 983045,1518365 983001,1518289 982956,1518197 982916,1518109 982879,1518045 982849,1518003 982822,1517963 982792,1517931 982751,1517915 982720,"
100549,100548,1,"1518214 982669,"
100548,100549,1,"1518214 982669,"
102539,100549,11,"1517928 982209,1518030 982305,1518107 982356,1518179 982393,1518241 982419,1518304 982442,1518357 982460,1518404 982487,1518443 982521,1518477 982564,1518493 982601,"
100671,100557,10,"1507339 989540,1508509 989551,1508804 989553,1508811 989553,1509172 989563,1509379 989614,1509443 989633,1509558 989666,1509711 989698,1510002 989721,"
100559,100558,3,"1513685 990670,1513129 990463,1511990 989830,"
100561,100559,9,"1514533 992950,1514497 992624,1514448 992412,1514385 992072,1514292 991794,1514159 991457,1514048 991234,1513959 991012,1513866 990777,"
100558,100559,3,"1511990 989830,1513129 990463,1513685 990670,"
100560,100559,4,"1516747 990703,1516293 990708,1515279 990701,1514269 990690,"
100606,100560,4,"1518036 990667,1518035 990668,1517921 990671,1517197 990699,"
100559,100560,4,"1514269 990690,1515279 990701,1516293 990708,1516747 990703,"
100569,100561,24,"1518102 996578,1518026 996437,1517843 996223,1517673 996105,1517470 995947,1517305 995884,1517179 995850,1517022 995822,1516819 995800,1516621 995793,1516481 995803,1516149 995809,1515924 995802,1515755 995774,1515498 995675,1515219 995536,1515065 995374,1514931 995215,1514806 995010,1514741 994788,1514708 994564,1514679 994330,1514634 993936,1514608 993657,"
100559,100561,9,"1513866 990777,1513959 991012,1514048 991234,1514159 991457,1514292 991794,1514385 992072,1514448 992412,1514497 992624,1514533 992950,"
100566,100563,3,"1510587 995826,1510586 995728,1510582 994998,"
100736,100564,16,"1505555 999486,1505550 999318,1505542 998802,1505542 998801,1505541 998754,1505576 998643,1505736 998292,1505807 997990,1505809 997975,1505848 997747,1505864 997478,1505862 997117,1505898 996980,1505943 996841,1505969 996570,1505965 996406,"
100506,100564,3,"1502727 996055,1505060 996030,1505818 996001,"
100566,100565,5,"1510539 995981,1510481 995978,1510442 995977,1509956 995963,1509013 995965,"
100565,100566,5,"1509013 995965,1509956 995963,1510442 995977,1510481 995978,1510539 995981,"
100563,100566,3,"1510582 994998,1510586 995728,1510587 995826,"
101837,100566,7,"1511732 997604,1510946 996751,1510921 996724,1510722 996549,1510692 996523,1510646 996483,1510609 996413,"
101830,100567,5,"1512007 998546,1512014 998235,1512027 998181,1512049 998135,1512080 998094,"
101837,100567,4,"1511945 997772,1512028 997837,1512029 997838,1512171 997950,"
100136,100568,2,"1539010 1029930,1538962 1026914,"
100561,100569,24,"1514608 993657,1514634 993936,1514679 994330,1514708 994564,1514741 994788,1514806 995010,1514931 995215,1515065 995374,1515219 995536,1515498 995675,1515755 995774,1515924 995802,1516149 995809,1516481 995803,1516621 995793,1516819 995800,1517022 995822,1517179 995850,1517305 995884,1517470 995947,1517673 996105,1517843 996223,1518026 996437,1518102 996578,"
100570,100569,21,"1519830 997036,1519809 997037,1519790 997037,1519772 997038,1519755 997038,1519740 997039,1519725 997040,1519709 997043,1519691 997046,1519672 997052,1519653 997058,1519632 997066,1519610 997075,1519586 997085,1519562 997097,1519536 997110,1519510 997124,1519482 997140,1519453 997158,1519422 997176,1518877 997563,"
101835,100569,3,"1519441 998495,1519436 998485,1519316 998291,"
100569,100570,21,"1518877 997563,1519422 997176,1519453 997158,1519482 997140,1519510 997124,1519536 997110,1519562 997097,1519586 997085,1519610 997075,1519632 997066,1519653 997058,1519672 997052,1519691 997046,1519709 997043,1519725 997040,1519740 997039,1519755 997038,1519772 997038,1519790 997037,1519809 997037,1519830 997036,"
100587,100572,1,"1521238 996178,"
101838,100572,1,"1521266 998438,"
100081,100576,1,"1524343 998085,"
100585,100579,1,"1523523 996282,"
100583,100582,1,"1525161 996643,"
100584,100583,9,"1525958 994793,1525872 994968,1525691 995326,1525573 995518,1525572 995519,1525465 995693,1525314 996014,1525266 996113,1525177 996297,"
100582,100583,1,"1525161 996643,"
100583,100584,9,"1525177 996297,1525266 996113,1525314 996014,1525465 995693,1525572 995519,1525573 995518,1525691 995326,1525872 994968,1525958 994793,"
100596,100584,3,"1526410 993859,1526230 994225,1526058 994591,"
100579,100585,1,"1523523 996282,"
100588,100587,1,"1521212 994667,"
100572,100587,1,"1521238 996178,"
100587,100588,1,"1521212 994667,"
100591,100590,2,"1522541 993528,1522451 993500,"
100605,100591,6,"1522561 992982,1522562 993093,1522563 993213,1522574 993283,1522583 993343,1522605 993423,"
100590,100591,2,"1522451 993500,1522541 993528,"
100584,100596,3,"1526058 994591,1526230 994225,1526410 993859,"
100603,100596,14,"1527431 991097,1527430 991128,1527429 991195,1527429 991215,1527426 991381,1527378 991674,1527335 991882,1527293 991995,1527205 992106,1527199 992120,1527042 992473,1527023 992528,1526931 992788,1526683 993302,"
100599,100598,2,"1529870 993463,1529024 993466,"
100600,100599,1,"1530394 993462,"
100598,100599,2,"1529024 993466,1529870 993463,"
100601,100600,2,"1530997 993470,1530892 993454,"
100599,100600,1,"1530394 993462,"
100600,100601,2,"1530892 993454,1530997 993470,"
100602,100601,3,"1531944 993520,1531770 993525,1531526 993533,"
100647,100602,4,"1532775 993421,1532649 993436,1532533 993452,1532395 993473,"
100601,100602,3,"1531526 993533,1531770 993525,1531944 993520,"
100596,100603,14,"1526683 993302,1526931 992788,1527023 992528,1527042 992473,1527199 992120,1527205 992106,1527293 991995,1527335 991882,1527378 991674,1527426 991381,1527429 991215,1527429 991195,1527430 991128,1527431 991097,"
100614,100603,7,"1527612 988373,1527629 989401,1527634 989758,1527617 990198,1527582 990510,1527559 990608,1527492 990814,"
100591,100605,6,"1522605 993423,1522583 993343,1522574 993283,1522563 993213,1522562 993093,1522561 992982,"
100608,100605,6,"1522544 990889,1522544 990935,1522547 991291,1522550 991738,1522554 992187,1522558 992640,"
100560,100606,4,"1517197 990699,1517921 990671,1518035 990668,1518036 990667,"
