name,node_id,zone_id,node_type,control_type,x_coord,y_coord,geometry
,103650,218,,,-84.31842754,40.69290978,
,103651,161,,,-84.22392733,40.79089797,
,103652,224,,,-84.37767931,40.69952948,
,103653,239,,,-84.25106153,40.79326767,
,103654,225,,,-84.35930039,40.69966961,
,103655,218,,,-84.34906044,40.69965763,
,103656,214,,,-84.29930761,40.6930357,
,103657,214,,,-84.29942568,40.70755464,
,103658,237,,,-84.26249412,40.80680543,
,103659,241,,,-84.34268564,40.75773136,
,103660,218,,,-84.34242446,40.69964957,
,103661,218,,,-84.31848557,40.70015163,
,103662,218,,,-84.36460832,40.68866251,
,103663,218,,,-84.35876139,40.69966948,
,103664,226,,,-84.3490935,40.7166285,
,103665,241,,,-84.33898863,40.73605347,
,103666,226,,,-84.35884053,40.73591139,
,103667,219,,,-84.34575548,40.70721862,
,103668,219,,,-84.34291749,40.70725263,
,103669,210,,,-84.2801897,40.69295591,
,103670,232,,,-84.33382429,40.74934003,
,103671,242,,,-84.37287069,40.7574788,
,103672,0,,,-84.36468231,40.68501556,
,103674,242,,,-84.35890556,40.74314636,
,103676,226,,,-84.35880351,40.7286895,
,103678,243,,,-84.34949667,40.76768725,
,103679,255,,,-84.34423212,40.84266191,
,103680,252,,,-84.34929342,40.84313066,
,103681,0,,,-84.39702535,40.73583324,
,103682,226,,,-84.38759839,40.73585428,
,103683,225,,,-84.38254634,40.71408941,
,103684,225,,,-84.36827941,40.71408251,
,103687,253,,,-84.34781921,40.84369454,
,103688,225,,,-84.38734632,40.71409137,
,103689,253,,,-84.34785524,40.84262847,
,103690,226,,,-84.35860045,40.71421551,
,103691,221,,,-84.34903149,40.71415353,
,103692,255,,,-84.34432292,40.84371606,
,103693,254,,,-84.34631467,40.84553748,
,103694,252,,,-84.34939535,40.84530927,
,103695,219,,,-84.35520343,40.70518661,
,103696,219,,,-84.35464844,40.70628547,
,103697,219,,,-84.35339845,40.70875952,
,103698,223,,,-84.35301246,40.70973548,
,103699,221,,,-84.35003046,40.70779653,
,103700,262,,,-84.3480621,40.84710039,
,103701,219,,,-84.35775041,40.70125962,
,103702,222,,,-84.3580874,40.70072957,
,103703,252,,,-84.34930933,40.84261303,
,103704,0,,,-84.3183685,40.68565675,
,103705,0,,,-84.29924758,40.68570277,
,103706,215,,,-84.31855263,40.71468061,
,103707,215,,,-84.31892673,40.73607754,
,103708,215,,,-84.30634075,40.72890555,
,103709,215,,,-84.31464875,40.73609756,
,103710,216,,,-84.30949781,40.74340955,
,103711,217,,,-84.3184886,40.70747167,
,103712,214,,,-84.30357767,40.7075367,
,103713,217,,,-84.31854162,40.71323258,
,103714,217,,,-84.33723652,40.70732858,
,103715,252,,,-84.34932733,40.84226404,
,103716,252,,,-84.35142733,40.84131603,
,103717,215,,,-84.29947472,40.71465469,
,103718,212,,,-84.28043983,40.7184728,
,103719,214,,,-84.29122372,40.7075527,
,103720,216,,,-84.29351474,40.7290255,
,103721,216,,,-84.28071337,40.73647932,
,103722,241,,,-84.33985163,40.76399435,
,103723,289,,,-84.28678542,40.82951144,
,103724,285,,,-84.30105352,40.83078125,
,103725,247,,,-84.34645743,40.81604614,
,103726,247,,,-84.34017245,40.81606316,
,103727,245,,,-84.34950447,40.80110118,
,103728,240,,,-84.33485253,40.80091924,
,103729,243,,,-84.34950254,40.77943426,
,103730,243,,,-84.33993658,40.7796163,
,103731,240,,,-84.32012352,40.81615423,
,103732,284,,,-84.32007846,40.83000918,
,103733,240,,,-84.31054055,40.81620727,
,103734,284,,,-84.31053948,40.8342642,
,103735,289,,,-84.28626058,40.82770831,
,103736,289,,,-84.28995053,40.83628027,
,103737,289,,,-84.29165555,40.83053028,
,103738,284,,,-84.29147057,40.8262333,
,103739,270,,,-84.34036536,40.84272807,
,103740,283,,,-84.33499044,40.82323116,
,103741,282,,,-84.33502142,40.83069613,
,103742,265,,,-84.34039834,40.84722605,
,103743,262,,,-84.34465283,40.84715334,
,103744,256,,,-84.34278921,40.84608396,
,103745,259,,,-84.34228855,40.84432134,
,103746,0,,,-84.37864232,40.81595102,
,103747,0,,,-84.35947639,40.81603509,
,103748,244,,,-84.37830542,40.77934915,
,103749,246,,,-84.37846636,40.80120508,
,103750,246,,,-84.35908543,40.80105215,
,103751,244,,,-84.37094545,40.77935218,
,103753,248,,,-84.38781432,40.80117604,
,103754,244,,,-84.3589395,40.77925422,
,103756,0,,,-84.38799229,40.81592099,
,103758,248,,,-84.38396034,40.80118805,
,103759,247,,,-84.34993942,40.81603613,
,103760,243,,,-84.3345946,40.77924532,
,103761,233,,,-84.30778372,40.77941642,
,103762,233,,,-84.29237475,40.78679445,
,103763,239,,,-84.2920237,40.79761941,
,103764,232,,,-84.30979477,40.76496847,
,103765,234,,,-84.31879664,40.78662735,
,103767,233,,,-84.30938272,40.77803442,
,103768,234,,,-84.30233571,40.78666541,
,103771,240,,,-84.31913052,40.81617424,
,103772,234,,,-84.33473258,40.78651229,
,103773,245,,,-84.33485554,40.79730725,
,103774,232,,,-84.33398466,40.76468437,
