name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_PHF1,VDF_gamma1,VDF_mu1
0,5137,103992,350,hot,1,0.509469697,1,1800,25,99,,1800,0.15,4,1,1,100
0,5138,103992,351,hot,1,0.519128788,1,1800,25,99,,1800,0.15,4,1,1,100
LAFAYETTE RD,5139,103992,103526,arterial,1,0.507765152,1,1560,39,1,,1560,0.25,3,1,1,100
LAFAYETTE RD,5140,103992,104161,arterial,1,0.752462121,1,1560,39,1,,1560,0.25,3,1,1,100
0,5141,103993,349,hot,1,0.711363636,1,1800,25,99,,1800,0.15,4,1,1,100
0,5142,103993,350,hot,1,0.496590909,1,1800,25,99,,1800,0.15,4,1,1,100
SR-81,5143,103993,103531,arterial,1,0.503977273,1,1560,49,1,,1560,0.25,3,1,1,100
SR-81,5144,103993,103991,arterial,1,1.002840909,1,1676,47,1,,1676,0.25,3,1,1,100
LINCOLN HWY,5145,103994,103546,arterial,1,0.329734848,1,1800,49,1,,1800,0.25,3,1,1,100
MAYBERRY RD,5146,103994,103975,arterial,1,1.002462121,1,1800,35,1,,1800,0.25,3,1,1,100
LINCOLN HWY,5147,103994,103995,arterial,1,0.748674242,1,1560,49,1,,1560,0.25,3,1,1,100
MAYBERRY RD,5148,103994,104014,arterial,1,0.442424242,1,1618,28,1,,1618,0.25,3,1,1,100
THAYER RD,5149,103995,103976,arterial,1,1.005681818,1,1560,37,1,,1560,0.25,3,1,1,100
LINCOLN HWY,5150,103995,103994,arterial,1,0.748674242,1,1560,49,1,,1560,0.25,3,1,1,100
LINCOLN HWY,5151,103995,104178,arterial,1,0.998295455,1,1560,49,1,,1560,0.25,3,1,1,100
THAYER RD,5152,103995,104189,arterial,1,0.465340909,1,1618,29,1,,1618,0.25,3,1,1,100
MAYBERRY RD,5153,103996,103975,arterial,1,1.003409091,1,1560,37,1,,1560,0.25,3,1,1,100
HILLVILLE RD,5154,103996,103997,arterial,1,0.750757576,1,1560,37,1,,1560,0.25,3,1,1,100
MAYBERRY RD,5155,103996,104076,arterial,1,0.500378788,1,1560,37,1,,1560,0.25,3,1,1,100
HILLVILLE RD,5156,103996,104080,arterial,1,1.251704545,1,1560,41,1,,1560,0.25,3,1,1,100
THAYER RD,5157,103997,103976,arterial,1,0.999242424,1,1800,39,1,,1800,0.25,3,1,1,100
HILLVILLE RD,5158,103997,103996,arterial,1,0.750757576,1,1618,37,1,,1618,0.25,3,1,1,100
THAYER RD,5159,103997,104284,arterial,1,0.242045455,1,1560,37,1,,1560,0.25,3,1,1,100
HILLVILLE RD,5160,103997,104285,arterial,1,0.98844697,1,1502,37,1,,1502,0.25,3,1,1,100
NAPOLEON RD,5161,103998,103989,arterial,1,0.516666667,1,1618,46,1,,1618,0.25,3,1,1,100
SWANEY RD,5162,103998,104000,arterial,1,0.402462121,1,1560,39,1,,1560,0.25,3,1,1,100
